ジャエン,-1,-1,10,名詞,固有名詞,一般,*,*,*,じゃえん,ジャエン,ジャエン
ピノ・オーセロワ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぴの・おーせろわ,ピノ・オーセロワ,ピノ・オーセロワ
ロモランタン,-1,-1,10,名詞,固有名詞,一般,*,*,*,ろもらんたん,ロモランタン,ロモランタン
ベッローネ,-1,-1,10,名詞,固有名詞,一般,*,*,*,べっろーね,ベッローネ,ベッローネ
ルビン,-1,-1,10,名詞,固有名詞,一般,*,*,*,るびん,ルビン,ルビン
ガルガーネガ,-1,-1,10,名詞,固有名詞,一般,*,*,*,がるがーねが,ガルガーネガ,ガルガーネガ
ジンファンデル,-1,-1,10,名詞,固有名詞,一般,*,*,*,じんふぁんでる,ジンファンデル,ジンファンデル
旅路,-1,-1,10,名詞,固有名詞,一般,*,*,*,たびじ,タビジ,タビジ
チャレッロ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ちゃれっろ,チャレッロ,チャレッロ
オレンジ・マスカット,-1,-1,10,名詞,固有名詞,一般,*,*,*,おれんじ・ますかっと,オレンジ・マスカット,オレンジ・マスカット
プティ・シラー,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぷてぃ・しらー,プティ・シラー,プティ・シラー
カタラット,-1,-1,10,名詞,固有名詞,一般,*,*,*,かたらっと,カタラット,カタラット
マルサンヌ,-1,-1,10,名詞,固有名詞,一般,*,*,*,まるさんぬ,マルサンヌ,マルサンヌ
ポシップ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぽしっぷ,ポシップ,ポシップ
キャンベル・アーリー,-1,-1,10,名詞,固有名詞,一般,*,*,*,きゃんべる・あーりー,キャンベル・アーリー,キャンベル・アーリー
モンドゥーズ・ノワール,-1,-1,10,名詞,固有名詞,一般,*,*,*,もんどぅーず・のわーる,モンドゥーズ・ノワール,モンドゥーズ・ノワール
パロミノ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぱろみの,パロミノ,パロミノ
コデガ,-1,-1,10,名詞,固有名詞,一般,*,*,*,こでが,コデガ,コデガ
コロンバール,-1,-1,10,名詞,固有名詞,一般,*,*,*,ころんばーる,コロンバール,コロンバール
バガ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ばが,バガ,バガ
グロ・マンサン,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぐろ・まんさん,グロ・マンサン,グロ・マンサン
モスカテル,-1,-1,10,名詞,固有名詞,一般,*,*,*,もすかてる,モスカテル,モスカテル
ペコリーノ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぺこりーの,ペコリーノ,ペコリーノ
トレパ,-1,-1,10,名詞,固有名詞,一般,*,*,*,とれぱ,トレパ,トレパ
サヴァニャン,-1,-1,10,名詞,固有名詞,一般,*,*,*,さゔぁにゃん,サヴァニャン,サヴァニャン
ネロ・ダーヴォラ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ねろ・だーゔぉら,ネロ・ダーヴォラ,ネロ・ダーヴォラ
ブラッククイーン,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぶらっくくいーん,ブラッククイーン,ブラッククイーン
オルテガ,-1,-1,10,名詞,固有名詞,一般,*,*,*,おるてが,オルテガ,オルテガ
ヴェルメンティーノ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ゔぇるめんてぃーの,ヴェルメンティーノ,ヴェルメンティーノ
甲州,-1,-1,10,名詞,固有名詞,一般,*,*,*,こうしゅう,コウシュウ,コウシュウ
ローズ・シオター,-1,-1,10,名詞,固有名詞,一般,*,*,*,ろーず・しおたー,ローズ・シオター,ローズ・シオター
ヒフヴィ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ひふゔぃ,ヒフヴィ,ヒフヴィ
マヴルッド,-1,-1,10,名詞,固有名詞,一般,*,*,*,まゔるっど,マヴルッド,マヴルッド
マカベオ,-1,-1,10,名詞,固有名詞,一般,*,*,*,まかべお,マカベオ,マカベオ
ソーヴィニヨン・ブラン,-1,-1,10,名詞,固有名詞,一般,*,*,*,そーゔぃによん・ぶらん,ソーヴィニヨン・ブラン,ソーヴィニヨン・ブラン
プロカニコ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぷろかにこ,プロカニコ,プロカニコ
ティンタ・ネグラ,-1,-1,10,名詞,固有名詞,一般,*,*,*,てぃんた・ねぐら,ティンタ・ネグラ,ティンタ・ネグラ
エンクルザード,-1,-1,10,名詞,固有名詞,一般,*,*,*,えんくるざーど,エンクルザード,エンクルザード
モスカテル・デ・セトゥーバル,-1,-1,10,名詞,固有名詞,一般,*,*,*,もすかてる・で・せとぅーばる,モスカテル・デ・セトゥーバル,モスカテル・デ・セトゥーバル
サグランティーノ,-1,-1,10,名詞,固有名詞,一般,*,*,*,さぐらんてぃーの,サグランティーノ,サグランティーノ
大阪紫葡萄,-1,-1,10,名詞,固有名詞,一般,*,*,*,おおさかむらさきぶどう,オオサカムラサキブドウ,オオサカムラサキブドウ
モスカート,-1,-1,10,名詞,固有名詞,一般,*,*,*,もすかーと,モスカート,モスカート
コルテーゼ,-1,-1,10,名詞,固有名詞,一般,*,*,*,こるてーぜ,コルテーゼ,コルテーゼ
